23,Female,Graduate,Mobile,1 - 5 Lakhs,mumbai,72.5,Instagram,Social,3-4 hours,Employed,Yes,Yes,Yes,Yes,Yes,Single,1,Not regular,14,266,Most of them
18,Male,Under Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,80,Facebook and  Instagram and  Whatsapp,Social,Whenever you're free,Student,Yes,Yes,Yes,Yes,Yes,Single,2,Not regular,15,500,Half of them
19,Female,Under Graduate,Mobile,1 - 5 Lakhs,Mumbai,87,Whatsapp,Study,Whenever you're free,Student,No,Yes,No,Yes,No,Single,2,Not regular,16,200,Half of them
20,Female,Under Graduate,Mobile,<1 Lakh,Mumbai,80,Instagram and  Whatsapp and  Snapchat,Social,7-8 hours,Student,No,Yes,Yes,No,Yes,Single,3,Not regular,12,250,Most of them
20,Female,Under Graduate,Mobile,> 10 Lakhs,Mumbai,60,Whatsapp,Social,1-2 hours,Student,No,Yes,No,Yes,Yes,Single,1,5-Oct,15,100,Half of them
20,Female,Under Graduate,Mobile,1 - 5 Lakhs,Mumbai,76,Whatsapp,Social,Whenever you're free,Student,No,Yes,No,Yes,Yes,Single,2,<5,14,600,Most of them
20,Male,Under Graduate,Mobile,<1 Lakh,karimnagar,70,Facebook and  Instagram and  Whatsapp,Study,1-2 hours,Student,No,Yes,No,Yes,No,Single,3,Not regular,16,400,Most of them
20,Female,Under Graduate,Mobile,> 10 Lakhs,Mumbai,90,Instagram,Social,1-2 hours,Student,No,Yes,No,Yes,No,Single,2,More than 10,14,1000,Half of them
22,Male,High School Graduate,Mobile,<1 Lakh,mumbai,60,Facebook and  Whatsapp,Social,3-4 hours,Student,No,Yes,No,Yes,No,Single,1,<5,17,100,Most of them
20,Male,Under Graduate,Mobile,1 - 5 Lakhs,Mumbai,90,Instagram,Social,3-4 hours,Student,No,Yes,No,Yes,Yes,Single,2,5-Oct,16,300,All of them
20,Female,Under Graduate,Mobile and  PC,5 - 10 Lakhs,Dombivli,82,Facebook,Social,1-2 hours,Student,No,No,No,Yes,No,Single,2,<5,16,155,All of them
20,Female,Under Graduate,Mobile,1 - 5 Lakhs,Mumbai,72,Instagram and  Whatsapp,Timepass,Whenever you're free,Student,Yes,Yes,No,Yes,Yes,Single,2,More than 10,17,10000,Half of them
24,Male,Under Graduate,Mobile and  Tablet and  PC,1 - 5 Lakhs,Mumbai,71,Facebook and  Instagram and  Twitter and  Whatsapp,For all,3-4 hours,Employed,Yes,Yes,No,Yes,No,Single,3,5-Oct,17,988,Most of them
21,Female,Graduate,Mobile,<1 Lakh,Mumbai,75,Instagram and  Whatsapp,Study,1-2 hours,Unemployed,No,Yes,No,Yes,No,Single,2,Not regular,16,200,Half of them
20,Female,High School Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,89.64,Facebook and  Whatsapp,Social,Whenever you're free,Student,No,No,No,Yes,No,Single,3,Not regular,15,500,Half of them
20,Female,Under Graduate,Mobile and  PC,5 - 10 Lakhs,Navi Mumbai,80,Facebook and  Whatsapp,Social,5-6 hours,Student,No,Yes,No,Yes,Yes,Single,2,Not regular,15,200,Most of them
21,Female,Under Graduate,PC,<1 Lakh,Kalyan,70,Whatsapp,Social,1-2 hours,Student,Yes,No,No,Yes,No,Single,2,Not regular,16,166,All of them
19,Female,Under Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,75,Facebook and  Instagram and  Whatsapp and  Snapchat,Interacting,Whenever you're free,Student,No,Yes,No,Yes,Yes,Single,2,Not regular,15,400,Half of them
20,Female,Under Graduate,Mobile and  PC,1 - 5 Lakhs,mumbai,80,Facebook and  Whatsapp,entertainment and study,1-2 hours,Student,No,No,No,Yes,No,Single,1,5-Oct,15,300,All of them
21,Male,Under Graduate,Mobile,> 10 Lakhs,Tamil,99.99,Twitter,Social,Whenever you're free,Self-employed,Yes,Yes,Yes,Yes,Yes,Single,1,More than 10,10,15000,Half of them
28,Male,Graduate,Mobile and  PC,5 - 10 Lakhs,Mumbai,50,Facebook and  Instagram and  Whatsapp and  Snapchat,Social,5-6 hours,Employed,Yes,Yes,Yes,Yes,Yes,Married,2,5-Oct,13,1500,Half of them
30,Male,Post Graduate,Mobile and  Tablet and  PC,1 - 5 Lakhs,Mumbai,60,Whatsapp,Social,1-2 hours,Employed,No,Yes,No,Yes,No,Single,4,<5,18,700,Most of them
20,Female,High School Graduate,Mobile and  PC,1 - 5 Lakhs,Pune,50,Facebook and  Instagram and  Snapchat,Social,All day,Student,Yes,Yes,Yes,Yes,Yes,Single,1,More than 10,10,700,Half of them
31,Female,Graduate,Mobile,1 - 5 Lakhs,Mumbai,70,Facebook and  Whatsapp,Social,Whenever you're free,Employed,No,No,No,Yes,No,Married,2,Not regular,21,600,Most of them
20,Male,Post Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,45,Facebook and  Instagram and  Whatsapp,Social,Whenever you're free,Student,No,Yes,No,Yes,No,Single,2,Not regular,16,350,Half of them
20,Male,Under Graduate,Mobile,5 - 10 Lakhs,Thane,79,Instagram and  Twitter and  Whatsapp,Social,1-2 hours,Student,Yes,Yes,No,Yes,No,Single,2,More than 10,17,1200,Most of them
20,Male,Graduate,Mobile and  PC,1 - 5 Lakhs,mumbai,66,Instagram and  Whatsapp,study + passtime,Whenever you're free,Student,No,Yes,No,Yes,No,Single,1,Not regular,16,500,Half of them
19,Female,Graduate,Mobile,1 - 5 Lakhs,Korutla,78,Whatsapp,Social,1-2 hours,Student,No,No,No,Yes,No,Single,2,Not regular,17,60,Most of them
23,Male,Under Graduate,Mobile,<1 Lakh,Mumbai,63,Whatsapp,Study,Whenever you're free,Student,No,Yes,No,Yes,No,Single,1,Not regular,18,50,Half of them
20,Male,Under Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,85,Whatsapp,Social,3-4 hours,Student,No,Yes,No,Yes,No,Single,1,<5,12,600,Most of them
20,Female,Graduate,Mobile,<1 Lakh,Mumbai,79.82,Facebook and  Whatsapp,Social,1-2 hours,Student,No,Yes,No,Yes,Yes,Single,3,<5,16,400,Most of them
21,Male,High School Graduate,Mobile,<1 Lakh,Mumbai,68.2,Facebook and  Instagram and  Twitter and  Whatsapp and  Snapchat,Social,5-6 hours,Student,Yes,Yes,No,Yes,Yes,Single,1,<5,15,1110,Half of them
20,Male,Under Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,85,Whatsapp,Social,3-4 hours,Student,No,Yes,No,Yes,No,Single,1,<5,12,600,Most of them
20,Female,Under Graduate,Mobile,<1 Lakh,Mumbai,7.9,Whatsapp,Study,3-4 hours,Student,No,No,No,Yes,No,Single,2,5-Oct,18,250,Most of them
21,Male,Under Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,58,Facebook and  Instagram and  Whatsapp and  Snapchat,Social,5-6 hours,Self-employed,No,Yes,No,Yes,Yes,Single,2,5-Oct,16,800,Most of them
18,Female,Under Graduate,Mobile,1 - 5 Lakhs,Mumbai,80.8,Facebook and  Instagram and  Whatsapp,Social,3-4 hours,Student,No,Yes,No,Yes,No,Single,2,5-Oct,16,50,Half of them
20,Female,Under Graduate,Mobile,<1 Lakh,Mumbai,70,Whatsapp,Study,1-2 hours,Student,No,Yes,No,Yes,Yes,Single,1,<5,15,50,Most of them
20,Female,High School Graduate,Mobile,<1 Lakh,Mumbai,70,Facebook and  Instagram and  Whatsapp,Business,All day,Student,No,Yes,No,Yes,No,Single,2,More than 10,16,350,None of them
21,Female,Under Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,83,Whatsapp and  Snapchat,Social,1-2 hours,Student,No,No,No,Yes,Yes,Single,1,Not regular,14,350,All of them
20,Female,Under Graduate,Mobile,5 - 10 Lakhs,Hyderabad,86,Whatsapp,Social,3-4 hours,Student,No,No,No,Yes,No,Single,2,<5,17,0,None of them
